Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
E-VAC,endoscopic vacuum assisted closure,内窥镜真空辅助闭合,,,
E/M,evaluation and management,评估与管理,,,
EA,electroacupuncture,电针,https://en.wikipedia.org/wiki/Electroacupuncture,,
EA,episodic ataxia,情节性共济失调,https://en.wikipedia.org/wiki/Episodic_ataxia,,
EAC,External Auditory Canal,外耳道,https://en.wikipedia.org/wiki/Ear_canal,,
EAEC,Enteroaggregative Escherichia coli,肠聚合性大肠杆菌,https://en.wikipedia.org/wiki/Enteroaggregative_Escherichia_coli,,
EASI,Eczema Area and Severity Index,湿疹面积和严重程度指数,https://en.wikipedia.org/wiki/Eczema_Area_and_Severity_Index,,
EATT,epicardial adipose tissue thickness,心外膜脂肪组织厚度,,,
EBL,estimated blood loss,估计失血,https://en.wikipedia.org/wiki/EBL,,
EBL,estimated surgical blood loss,估计手术失血量,https://en.wikipedia.org/wiki/EBL,,
EBRT,external beam radiation therapy,外照射疗法,https://en.wikipedia.org/wiki/External_beam_radiotherapy,,
EBUS,endobronchial ultrasound,支气管内超声,https://en.wikipedia.org/wiki/Ultrasound,,
EBV,Epstein Barr virus,爱泼斯坦巴尔病毒,https://en.wikipedia.org/wiki/Epstein%E2%80%93Barr_virus,,
EC,endometrial cancer,子宫内膜癌,https://en.wikipedia.org/wiki/Endometrial_cancer,,
ECA,extracellular agent,细胞外剂,https://en.wikipedia.org/wiki/ECA,,
ECF,extracellular fluid,细胞外液,https://en.wikipedia.org/wiki/Extracellular_fluid,,
ECG,electrocardiogram,心电图,https://en.wikipedia.org/wiki/Electrocardiography,,
ECMO,extracorporeal membrane oxygenation,体外膜氧合,https://en.wikipedia.org/wiki/Extracorporeal_membrane_oxygenation,,
ECP,extracorporeal photopheresis,体外光采,https://en.wikipedia.org/wiki/Photopheresis,,
ECPR,ECMO-assisted cardiopulmonary resuscitation,ECMO辅助的心肺复苏,https://en.wikipedia.org/wiki/European_Consortium_for_Political_Research,,
ECS,elective cesarean section,选择性剖宫产,https://en.wikipedia.org/wiki/Caesarean_section,,
