Abbreviation,Meaning,Translation,Wikipedia,Subject,Verified
O&P,ova and parasites,卵和寄生虫,,,
O2,oxygen,氧,https://en.wikipedia.org/wiki/Oxygen,,
OA,orbital atherectomy,眼眶斑块切除术,,,
OA,osteoarthritis,骨关节炎,https://en.wikipedia.org/wiki/Osteoarthritis,,
OAG,open-angle glaucoma,青光眼,https://en.wikipedia.org/wiki/Glaucoma#Primary_glaucoma_and_its_variants_.28H40.1-H40.2.29,,
OAR,organs at risk,危险器官,,,
OASAS,NY Office of Alcoholism and Substance Abuse Services,纽约州酒精中毒和药物滥用服务办公室,,,
OASAS,New York Office of Addiction Services and Supports,纽约成瘾服务与支持办公室,,,
OAT,oral appliance therapy,口腔矫治器疗法,,,
OATP,organic anion transporting polypeptide,有机阴离子转运多肽,https://en.wikipedia.org/wiki/Organo_anion_transporter_family,,
OATS,osteochondral allograft transplantation surgery ,骨软骨移植手术,,,
OB,occult blood,潜血,https://en.wikipedia.org/wiki/Occult_blood,,
OC,oral contraceptive,避孕药,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,,
OCD,obsessive-compulsive disorder,强迫症,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder,,
OCD,osteochondral defects,骨软骨缺损,,,
OCP,oral contraceptive pill,避孕药,https://en.wikipedia.org/wiki/Oral_contraceptive_pill,,
OCT,optical coherence tomography,光学同调断层扫描,https://en.wikipedia.org/wiki/Optical_coherence_tomography,,
OCT3,organic cation transporter 3,有机阳离子转运蛋白3,,,
OD,overdose,药物过量,https://en.wikipedia.org/wiki/Drug_overdose,,
OD,right eye,右眼,,,
ODD,oppositional defiant disorder,对立反抗症,https://en.wikipedia.org/wiki/Oppositional_defiant_disorder,,
ODG,Official Disability Guidelines,官方残疾指南,,,
ODI,oxygen desaturation index,氧饱和度指数,,,
OGTT,oral glucose tolerance test,糖耐力测试,https://en.wikipedia.org/wiki/Glucose_tolerance_test,,
OHCA,out-of-hospital cardiac arrest,院外心脏骤停,,,
OHSS,ovarian hyperstimulation syndrome,卵巢过度刺激综合征,https://en.wikipedia.org/wiki/Ovarian_hyperstimulation_syndrome,,
OHT,ocular hypertension,高眼压,https://en.wikipedia.org/wiki/Ocular_hypertension,,
OHT,orthotopic heart transplantation,原位心脏移植,,,
OM,Otitis Media,中耳炎,,,
OM,obtuse marginal branch,钝边支,,,
OM1,obtuse marginal branch 1,钝边分支1,,,
OM2,obtuse marginal branch 2,钝边支2,,,
OM3,obtuse marginal branch 3,钝边支3,,,
ONH,optic nerve head,视神经头,https://en.wikipedia.org/wiki/Optic_disc,,
ONLS,Overall Neuropathy Limitation Scale,总体神经病限制量表,,,
OPC,oropharyngeal cancer,口咽癌,https://en.wikipedia.org/wiki/Oropharyngeal_cancer,,
OPC,outer pillar cell,外柱状细胞,,,
OPLL,ossification of the posterior longitudinal ligament,后纵韧带骨化,https://en.wikipedia.org/wiki/Ossification_of_the_posterior_longitudinal_ligament,,
OPTN,Organ Procurement and Transplantation Network,器官采购和移植网络,https://en.wikipedia.org/wiki/United_Network_for_Organ_Sharing,,
OPUS,Oral Passage Understanding Scale,口语理解量表,,,
OR,operating room,手术室,https://en.wikipedia.org/wiki/Operating_theater,,
ORF,open reading frame,开放阅读框,https://en.wikipedia.org/wiki/Open_reading_frame,,
ORIF,open reduction internal fixation,切开复位内固定,https://en.wikipedia.org/wiki/Internal_fixation,,
ORR,objective response rate,客观回应率,https://en.wikipedia.org/wiki/Response_rate_(medicine),,
ORS,oral rehydration solution,口服补液溶液,https://en.wikipedia.org/wiki/Oral_rehydration_therapy,,
OS,left eye,左眼,,,
OS,overall survival,总体生存,https://en.wikipedia.org/wiki/Survival_rate,,
OS12,overall survival at 12 months,12个月的总体生存,,,
OSA,obstructive sleep apnea,阻塞性睡眠呼吸暂停,https://en.wikipedia.org/wiki/Obstructive_sleep_apnea,,
OSAS,Obstructive Sleep Apnea Syndrome,阻塞性睡眠呼吸暂停综合症,,,
OSCC,oropharyngeal squamous cell carcinoma,口咽鳞状细胞癌,,,
OSH,outside hospital,医院外,,,
OSR,Open Surgical Repair,开放式手术修复,,,
OT,occupational therapy,作业治疗,https://en.wikipedia.org/wiki/Occupational_therapy,,
OTC,over-the-counter,非处方药,https://en.wikipedia.org/wiki/Over-the-counter_drug,,
OTO,Outer to Outer,外到外,,,
OTW,over-the-wire,线上,,,
OU,both eyes,两只眼睛,,,
OV,office visit,办公室拜访,,,
OVB,oral viscous budesonide,口服粘性布地奈德,,,
OW,overweight,超重,https://en.wikipedia.org/wiki/Overweight,,
